"","name","city","postalcode","address","url","long","lat"
"6251","ACOUSTIC BAR","Montauban","82000","ZAC ALBASUD IMPASSE D'OSLO","https://www.ticketmaster.fr/fr/salle/acoustic-bar/idsite/17516","1.358918","44.017588"
"6252","GRAND PETIT CLUB","Bourges","18000","PLACE ETIENNE DOLET","https://www.ticketmaster.fr/fr/salle/grand-petit-club-bourges/idsite/17492","2.39644","47.075781"
"6253","BASILIQUE SAINTE-CLOTILDE","Reims","51100","PLACE SAINTE-CLOTILDE","https://www.ticketmaster.fr/fr/salle/basilique-sainte-clotilde/idsite/17482","4.032705","49.238152"
"6254","CIRQUE LA PISTE D'OR","Vaulx En Velin","69120","Place Cavellini","https://www.ticketmaster.fr/fr/salle/cirque-la-piste-d-or/idsite/15751","4.929188","45.759089"
"6255","CHATEAU DE BERNE","Lorgues","83510","ROUTE DE SALERNES","https://www.ticketmaster.fr/fr/salle/chateau-de-berne/idsite/17526","6.340014","43.505109"
"6256","PLACE DU PENON - PLEIN AIR","SEIGNOSSE","40510","-","https://www.ticketmaster.fr/fr/salle/place-du-penon-seignosse/idsite/18275",NA,NA
"6257","PETIT PALAIS DES GLACES","Paris","75010","37 Rue du Faubourg du Temple","https://www.ticketmaster.fr/fr/salle/palais-des-glaces-paris/idsite/46","2.368369","48.86911"
"6258","RED STUDIO","Douai","59500","4120 Route de Tournai","https://www.ticketmaster.fr/fr/salle/red-studio-douai/idsite/18254","3.1035","50.389432"
"6259","MOULIN NEUF - LA GARENGUE","PREIGNAC","33210","-","https://www.ticketmaster.fr/fr/salle/moulin-neuf-la-garengue-preignac/idsite/18258",NA,NA
"6260","VILLA AURELIENNE","Frejus","83600","85 AVENUE DU GENERAL CALLIES","https://www.ticketmaster.fr/fr/salle/villa-aurelienne/idsite/18261","6.744943","43.440762"
"6261","EGLISE SAINTE CATHERINE - VALENCE","Valence","26000","245 AVENUE VICTOR HUGO","https://www.ticketmaster.fr/fr/salle/eglise-sainte-catherine-valence/idsite/18264","4.885784","44.919621"
"6262","JARDINS DE LA SOUS-PREFECTURE - BELLAC","Bellac","87300","8 rue Lamartine","https://www.ticketmaster.fr/fr/salle/jardins-de-la-sous-prefecture-bellac/idsite/18255","1.049719","46.120827"
"6263","CHATEAU DE VIVEN, THEATRE","Viven","64450","Chemin du Chateau","https://www.ticketmaster.fr/fr/salle/chateau-de-viven/idsite/18252","-0.379058","43.459073"
"6264","SALLE DU BEGUINAGE","Frelinghien","59236","BEGI DE LA CHAPELETTE","https://www.ticketmaster.fr/fr/salle/salle-du-beguinage-frelinghien/idsite/18249","2.932467","50.711834"
