"","name","city","postalcode","address","url","long","lat"
"6210","Festhalle","Bad Oldesloe","23843","Olivet Allee 4-6","https://www.ticketmaster.de/venue/festhalle-bad-oldesloe-tickets/bolfesthal/701","10.3665","53.80808"
"6211","Schlossgut Groß Schwansee","Kalkhorst","23942","OT Groß Schwansee, Am Park 1","https://www.ticketmaster.de/venue/schlossgut-gross-schwansee-kalkhorst-tickets/gscschloss/701","11.01148","53.99143"
"6212","Orangerie Schloss Bothmer","Klütz","23948","Am Park 1","https://www.ticketmaster.de/venue/orangerie-schloss-bothmer-klutz-tickets/kluschloss/701","11.16459","53.96549"
"6213","Freilichtbühne Schlosswallanlage","Insel Poel","23999","Kirchdorf, Wismarsche Straße","https://www.ticketmaster.de/venue/freilichtbuhne-schlosswallanlage-insel-poel-tickets/kdffreilic/701",NA,NA
"6214","Kunstscheune","Neukloster","23992","Nakensdorf, Seestraße 1","https://www.ticketmaster.de/venue/kunstscheune-neukloster-tickets/nkrkunstsc/701","11.68691","53.8657"
"6215","Rütinger Hof","Grömitz","23743","Kathenkamp 3","https://www.ticketmaster.de/venue/rutinger-hof-gromitz-tickets/grmrueting/701","10.94349","54.2124"
"6216","Jacob Lienau Realschule","Neustadt","23730","Schulstraße 4","https://www.ticketmaster.de/venue/jacob-lienau-realschule-neustadt-tickets/nihjacobli/701","8.17146","49.37005"
"6217","Discothek New Bambu","Neustadt","23730","Sierksdorfer Straße 3","https://www.ticketmaster.de/venue/discothek-new-bambu-neustadt-tickets/nihnewbamb/701","10.79493","54.09836"
"6218","Marktplatz","Neustadt","23730",NA,"https://www.ticketmaster.de/venue/marktplatz-neustadt-tickets/nihmarktpl/701","10.82982","54.121"
"6219","Evangelische Kirche","Zarpen","23619","Hauptstraße 44","https://www.ticketmaster.de/venue/evangelische-kirche-zarpen-tickets/zarevangel/701","10.51928","53.87632"
"6220","Sea Life","Timmendorfer Strand","23669","Kurpromenade 5","https://www.ticketmaster.de/venue/sea-life-timmendorfer-strand-tickets/tissealife/701","10.78285","53.99886"
"6221","Auszeit Lounge","Stockelsdorf","23617","Rathausmarkt 1","https://www.ticketmaster.de/venue/auszeit-lounge-stockelsdorf-tickets/stcauszeit/701","10.64846","53.88773"
"6222","Restaurant Felino","Reinfeld","23858","Bischofsteicher Weg 45","https://www.ticketmaster.de/venue/restaurant-felino-reinfeld-tickets/rifrestaur/701","10.49833","53.83367"
"6223","Musik- und Kongreßhalle Saal 2","Lübeck","23554","Willy-Brandt-Allee 10","https://www.ticketmaster.de/venue/musik-und-kongresshalle-saal-2-lubeck-tickets/lubkongres/701","10.67765","53.86927"
"6224","Strandsalon","Lübeck","23554","Willy-Brandt-Allee 25a","https://www.ticketmaster.de/venue/strandsalon-lubeck-tickets/lubstrands/701","10.67805","53.86781"
"6225","St. Aegidien","Lübeck","23552","Aegidienstraße 75","https://www.ticketmaster.de/venue/st-aegidien-lubeck-tickets/lubstaegid/701","10.68921","53.86401"
"6226","Holzland H. Wulf","Ahrensburg","22926","Bahnhofstraße 19","https://www.ticketmaster.de/venue/holzland-h-wulf-ahrensburg-tickets/ahrholzlan/701","10.23586","53.66963"
"6227","TIF Theater im Forum Schenefeld","Schenefeld","22869","Achter de Weiden 34","https://www.ticketmaster.de/venue/tif-theater-im-forum-schenefeld-schenefeld-tickets/scetifthea/701","9.83128","53.60626"
"6228","Alfred Rust Schule (Festsaal)","Ahrensburg","22926","Wulfsdorfer Weg 71","https://www.ticketmaster.de/venue/alfred-rust-schule-festsaal--ahrensburg-tickets/ahralfredr/701","10.22326","53.67294"
"6229","Mondial Club @ Indra","Hamburg","22767","Große Freiheit 64","https://www.ticketmaster.de/venue/mondial-club--indra-hamburg-tickets/hammondind/701","9.95815","53.55201"
"6230","MONDIAL LUFTSCHLOSS @ Grosse Fre","Hamburg","22767","Große Freiheit 36","https://www.ticketmaster.de/venue/mondial-luftschloss--grosse-fre-hamburg-tickets/hammondluf/701","9.95788","53.55119"
"6231","Schloss","Tremsbüttel","22967","Schloßstraße 10","https://www.ticketmaster.de/venue/schloss-tremsbuttel-tickets/trmschloss/701","10.3129","53.74379"
"6232","Waldreitersaal","Großhansdorf","22927","Barkholt 64","https://www.ticketmaster.de/venue/waldreitersaal-grosshansdorf-tickets/ghdwaldrei/701","10.28171","53.65323"
"6233","Kunstschule","Lübeck","23552","Kanalstraße 42-48","https://www.ticketmaster.de/venue/kunstschule-lubeck-tickets/lubkunstho/701","10.69444","53.87127"
